Superdistrict_ID,Link ID of a highway link (>2 lanes if possible) near the middle of the superdistrict),A,B,Lanes
1,,1000001,,
2,,1000002,,
3,,1000003,,
4,,1000004,,
5,,1000005,,
6,,1000006,,
7,,1000007,,
8,,1000008,,
9,,1000009,,
10,,1000010,,
11,,1000011,,
12,,1000012,,
13,,1000013,,
14,,1000014,,
15,,1000015,,
16,,1000016,,
17,,1000017,,
18,,1000018,,
19,,1000019,,
20,,1000020,,
21,,1000021,,
22,,1000022,,
23,,1000023,,
24,,1000024,,
25,,1000025,,
26,,1000026,,
27,,1000027,,
28,,1000028,,
29,,1000029,,
30,,1000030,,
31,,1000031,,
32,,1000032,,
33,,1000033,,
34,,1000034,,
